Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
3055,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals,"This rule checks whether the S3 bucket policy allows delete actions from all principals. Allowing unrestricted delete actions from all principals can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized. Implementing this best practice helps protect data integrity and enhances overall security.",NonProd,,us-east-1
3056,security,Informational,Passed,,,Image,How do you protect your compute resources?,AMIs must not be publicly shared,"To avoid exposing sensitive data, ensure that your AWS Amazon Machine Images (AMIs) are not publicly shared with other AWS accounts. It is a best practice to avoid sharing your AMIs with all AWS accounts. If required, you can share your images with specific AWS accounts without making them public. This check verifies if your images are publicly accessible and helps prevent unauthorized access to your AMIs and the data they contain.",NonProd,,us-east-1
3057,costOptimization,Informational,Passed,,,Rds,How do you decommission resources?,RDS Idle DB Instances.,Identifying idle Amazon RDS database instances can help you optimize your AWS resources and lower costs by eliminating unused instances.,NonProd,,us-east-1
3058,security,Informational,Passed,,,Instance,How do you protect your compute resources?,Successful SSM association,"This rule checks for a successful SSM association on instances, ensuring that the desired state is maintained on your instances through the use of State Manager associations.",NonProd,,us-east-1
3059,sustainability,Informational,Passed,,,Lambda,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3060,operationalExcellence,Informational,Passed,,,Topic,How do you manage workload and operations events?,SNS topics should have active subscriptions,"Validating that SNS topics have subscribers with confirmed status ensures that notifications are successfully delivered to the intended recipients, maintaining proper communication and monitoring.",Sandbox,,us-east-1
3061,security,Informational,Passed,,,Image,How do you protect your compute resources?,AMIs must not be publicly shared,"To avoid exposing sensitive data, ensure that your AWS Amazon Machine Images (AMIs) are not publicly shared with other AWS accounts. It is a best practice to avoid sharing your AMIs with all AWS accounts. If required, you can share your images with specific AWS accounts without making them public. This check verifies if your images are publicly accessible and helps prevent unauthorized access to your AMIs and the data they contain.",NonProd,,us-east-1
3062,security,Informational,Passed,,,Topic,How do you manage permissions for people and machines?,Restrict SNS topic cross-account access,"Improve security by ensuring your SNS topics only allow access to trusted AWS accounts, protecting against unauthorized cross-account access and potential data breaches.",Sandbox,,us-east-1
3063,security,Informational,Passed,,,Topic,How do you protect your data in transit?,Avoid SNS plaintext (HTTP) subscriptions,"Enhance security by ensuring Amazon SNS subscriptions use HTTPS instead of HTTP as the delivery protocol, enforcing SSL encryption for all subscription requests and protecting sensitive data from unauthorized access.",NonProd,,us-east-1
3064,security,Informational,Passed,,,RdsSnapshot,How do you manage permissions for people and machines?,Public RDS snapshots.,"Ensuring that AWS RDS database snapshots are not publicly accessible (i.e., not shared with all AWS accounts and users) helps protect private data from being exposed to unauthorized users.",NonProd,,us-east-1
3065,reliability,Informational,Passed,,,Snapshot,How do you back up data?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3066,costOptimization,Informational,Passed,,,Lambda,How do you evaluate new services?,Timeout Error Monitoring for Functions.,It is recommended to closely monitor functions experiencing a high rate of invocation errors due to timeouts as it indicates potential inefficiencies or bottlenecks in your application's performance. Identifying and addressing these issues promptly can enhance reliability and reduce unnecessary costs by optimizing resource allocation.,NonProd,,us-east-1
3067,security,Informational,Passed,,,Topic,How do you manage permissions for people and machines?,Restrict SNS topic cross-account access,"Improve security by ensuring your SNS topics only allow access to trusted AWS accounts, protecting against unauthorized cross-account access and potential data breaches.",Sandbox,,us-east-1
3068,security,Informational,Passed,,,Lambda,How do you securely operate your workload?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3069,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, WRITE, or WRITE_ACP Permissions to Public or ALL USERS","This check recognizes S3 buckets with ACLs that grant FULL_CONTROL, WRITE, or WRITE_ACP permissions to everyone. The ALL USERS GROUP access permission allows global access to the resource. PERMISSION WRITE enables creating new objects in the bucket and, for existing objects, allows deletions and overwrites. PERMISSION WRITE_ACP allows writing the ACL for the applicable bucket or object. PERMISSION FULL_CONTROL provides extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is recommended to restrict these permissions to specific authorized users or groups and avoid granting them to the public or all users.",NonProd,,us-east-1
3070,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 bucket should not allow all actions from all principals without a condition.,Ensuring that S3 bucket policies follow the principle of least privilege and do not allow all actions from all principals without a condition prevents the leakage of private information and unauthorized data tampering or deletion.,NonProd,,us-east-1
3071,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3072,sustainability,Informational,Passed,,,ComputeOptimizer,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use Compute Optimizer,"Leveraging Compute Optimizer enhances the performance and efficiency of your AWS workloads by analyzing resource utilization and providing recommendations for optimization. It evaluates CPU, memory, and storage usage to identify opportunities for resizing or switching instance types, ensuring optimal performance and cost-effectiveness. By utilizing Compute Optimizer, organizations can fine-tune their infrastructure to match workload requirements and eliminate underutilized resources. It is recommended to regularly reviewing Compute Optimizer recommendations and implementing changes to optimize resource utilization and reduce costs.",NonProd,,global
3073,security,Informational,Passed,,,Subnet,How do you protect your compute resources?,Ensure Public IP Address Assignment for subnets is disabled,"Disabling automatic public IP assignment for subnets reduces the risk of inadvertent exposure of instances to the internet, improving security and minimizing potential business risks.",Sandbox,,us-east-1
3074,operationalExcellence,Informational,Passed,,,Cfn,How do you manage workload and operations events?,Detect and Manage Configuration Drift in CloudFormation Stacks,"CloudFormation stacks should be monitored for configuration drift. Configuration drift arises when the current state of infrastructure resources and their properties deviates from the intended state outlined in your CloudFormation template. Drift monitoring enables the early detection of modifications made to resources outside of CloudFormation, ensuring ongoing consistency and predictability in your infrastructure. Regular drift checks empower you to swiftly pinpoint and address any disparities, safeguarding the integrity and security of your environment.",NonProd,,us-east-1
3075,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3076,security,Informational,Passed,,,Image,How do you protect your compute resources?,AMIs must not be publicly shared,"To avoid exposing sensitive data, ensure that your AWS Amazon Machine Images (AMIs) are not publicly shared with other AWS accounts. It is a best practice to avoid sharing your AMIs with all AWS accounts. If required, you can share your images with specific AWS accounts without making them public. This check verifies if your images are publicly accessible and helps prevent unauthorized access to your AMIs and the data they contain.",NonProd,,us-east-1
3077,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Amazon Lambda Functions Do Not Share the Same AWS IAM Execution Role,"Ensure that your Amazon Lambda functions do not share the same execution role in order to promote the Principle of Least Privilege. Each individual Lambda function should have its own execution role with the minimal amount of access required to perform its tasks. By providing tailored permissions to each function, we reduce the risk of privilege escalation and unauthorized actions. This practice enhances the security posture of our serverless applications and ensures that access to AWS resources is appropriately controlled.",NonProd,,us-east-1
3078,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
3079,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
3080,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Lambda functions are not publicly exposed,Ensure that Lambda functions are not publicly exposed by validating their access policy. This will help with protecting the function against unauthorized users that are sending request to invoke these functions.,Sandbox,,us-east-1
3081,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets ACLs with FULL_CONTROL, READ, or READ_ACP Permissions to Public or ALL USERS","This check detects S3 buckets with ACLs that grant FULL_CONTROL, READ, or READ_ACP permissions to ALL USERS. The ALL USERS GROUP allows global access to the resource, potentially exposing sensitive data and enabling unauthorized modifications to the bucket. PERMISSION READ allows listing objects, reading object data, and metadata, while PERMISSION READ_ACP enables reading the bucket and object ACL. PERMISSION FULL_CONTROL grants extensive access. To safeguard data privacy, it is crucial to restrict these permissions to specific authorized principals and groups, avoiding grants to public or ALL USERS.",NonProd,,us-east-1
3082,costOptimization,Informational,Passed,,,Volume,How do you decommission resources?,Unused EBS volumes must be removed,Identifying and removing unused (unattached) Amazon Elastic Block Store (EBS) volumes can lower the cost of your AWS bill and reduce the risk of confidential and sensitive data leaks.,NonProd,,us-east-1
3083,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 bucket policy should not allow put or restore actions from all principals.,"This check ensures that put and restore actions from all principals are not allowed on S3 buckets, thereby enhancing data security and access control.",NonProd,,us-east-1
3084,costOptimization,Informational,Passed,,,Volume,How do you decommission resources?,Delete EBS volumes on instance termination,"Enhance resource management by configuring EBS volumes to be deleted upon instance termination. This prevents the retention of unnecessary volumes when an EC2 instance is removed, reducing costs and clutter.",NonProd,,us-east-1
3085,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Lambda functions are not publicly exposed,Ensure that Lambda functions are not publicly exposed by validating their access policy. This will help with protecting the function against unauthorized users that are sending request to invoke these functions.,NonProd,,us-east-1
3086,sustainability,Informational,Passed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
3087,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Lambda functions are not publicly exposed,Ensure that Lambda functions are not publicly exposed by validating their access policy. This will help with protecting the function against unauthorized users that are sending request to invoke these functions.,NonProd,,us-east-1
3088,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Lambda functions are not publicly exposed,Ensure that Lambda functions are not publicly exposed by validating their access policy. This will help with protecting the function against unauthorized users that are sending request to invoke these functions.,NonProd,,us-east-1
3089,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Should Not Allow List Actions from All Principals Without a Condition,"This rule checks if the list action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted list actions on an S3 bucket can lead to unauthorized users gaining insights into the bucket's contents and structure. To maintain privacy and data security, it is important to restrict list actions to specific authorized principals and use conditions such as IP address range, MFA, or specific user agents. By controlling access to list actions, we can reduce the risk of data breaches and protect the confidentiality of the data stored in the S3 bucket.",NonProd,,us-east-1
3090,security,Informational,Passed,,,LoadBalancer,How do you classify your data?,Ensure elastic load balancers are using secure listeners.,"Using HTTPS/TLS protocol connections for load balancers enhances data security, protects sensitive information, and ensures compliance with industry standards, reducing potential business risks.",NonProd,,us-east-1
3091,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Restrict Lambda Functions to avoid Admin Privileges for Security,"Ensure Lambda functions are not created with unnecessary administrative privileges using this rule. It verifies that Lambda functions are granted specific permissions required for their tasks, encouraging the creation of IAM policies tailored to these precise permissions, rather than relying on broad administrative access. This practice enhances security by minimizing the scope of permissions granted to Lambda functions.",NonProd,,us-east-1
3092,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3093,operationalExcellence,Informational,Passed,,,Cfn,How do you manage workload and operations events?,Detect and Manage Configuration Drift in CloudFormation Stacks,"CloudFormation stacks should be monitored for configuration drift. Configuration drift arises when the current state of infrastructure resources and their properties deviates from the intended state outlined in your CloudFormation template. Drift monitoring enables the early detection of modifications made to resources outside of CloudFormation, ensuring ongoing consistency and predictability in your infrastructure. Regular drift checks empower you to swiftly pinpoint and address any disparities, safeguarding the integrity and security of your environment.",NonProd,,us-east-1
3094,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Ensure Lambda functions are not publicly exposed,Ensure that Lambda functions are not publicly exposed by validating their access policy. This will help with protecting the function against unauthorized users that are sending request to invoke these functions.,NonProd,,us-east-1
3095,costOptimization,Informational,Passed,,,Instance,How do you evaluate cost when you select services?,Use Linux-Powered EC2 Instances,"Utilizing Linux-powered EC2 instances is essential for optimizing costs and minimizing licensing complexities. Linux offers a wide range of open-source tools and flexible configurations, allowing for efficient resource utilization and scalability. It is recommended to leverage Linux-based EC2 instances to maximize performance and cost-effectiveness in your AWS environment.",NonProd,,us-east-1
3096,security,Informational,Passed,,,Image,How do you protect your compute resources?,AMIs must not be publicly shared,"To avoid exposing sensitive data, ensure that your AWS Amazon Machine Images (AMIs) are not publicly shared with other AWS accounts. It is a best practice to avoid sharing your AMIs with all AWS accounts. If required, you can share your images with specific AWS accounts without making them public. This check verifies if your images are publicly accessible and helps prevent unauthorized access to your AMIs and the data they contain.",NonProd,,us-east-1
3097,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3098,security,Informational,Passed,,,S3,How do you protect your compute resources?,Static website hosting is disabled on S3 buckets,"A static website on a S3 bucket requires public read access to the bucket. To make bucket publicly readable, you must disable block public access settings for the bucket and write a bucket policy that grants public read access, it has potential risk of exposure when you turn off block public access settings to make your bucket public, anyone on the internet can access your bucket, it is strongly recommended to block public access.",NonProd,,us-east-1
3099,reliability,Informational,Passed,,,Snapshot,How do you back up data?,Check for EBS Old Snapshots older than 30 days.,"Checking for AWS EBS snapshots older than 30 days helps identify and remove outdated snapshots, reducing storage costs and minimizing the risk of unauthorized access to stale data.",NonProd,,us-east-1
3100,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, WRITE, or WRITE_ACP Permissions to Public or ALL USERS","This check recognizes S3 buckets with ACLs that grant FULL_CONTROL, WRITE, or WRITE_ACP permissions to everyone. The ALL USERS GROUP access permission allows global access to the resource. PERMISSION WRITE enables creating new objects in the bucket and, for existing objects, allows deletions and overwrites. PERMISSION WRITE_ACP allows writing the ACL for the applicable bucket or object. PERMISSION FULL_CONTROL provides extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is recommended to restrict these permissions to specific authorized users or groups and avoid granting them to the public or all users.",NonProd,,us-east-1
3101,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",Sandbox,,global
3102,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Put or Restore Actions from All Principals Without a Condition,"This rule checks if the put action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted put actions can lead to unauthorized users uploading, modifying, or overwriting objects in the S3 bucket. To prevent data tampering and unauthorized changes, it is important to restrict put and restore actions to specific authorized principals and use conditions such as IP address range, MFA, or specific user agents. By controlling access to put and restore actions, we can ensure data integrity and maintain a secure and compliant S3 bucket.",NonProd,,us-east-1
3103,operationalExcellence,Informational,Passed,,,Image,"How do you reduce defects, ease remediation, and improve flow into production?",Outdated EC2 AMIs,Verifying that your existing AWS Amazon Machine Images (AMIs) are not older than 180 days helps ensure their reliability and meet security and compliance requirements. Regularly updating AMIs reduces the risk of outdated software and vulnerabilities.,NonProd,,us-east-1
3104,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3105,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals,"This rule checks whether the S3 bucket policy allows delete actions from all principals. Allowing unrestricted delete actions from all principals can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized. Implementing this best practice helps protect data integrity and enhances overall security.",NonProd,,us-east-1
3106,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3107,reliability,Informational,Passed,,,Snapshot,How do you back up data?,Check for EBS Old Snapshots older than 30 days.,"Checking for AWS EBS snapshots older than 30 days helps identify and remove outdated snapshots, reducing storage costs and minimizing the risk of unauthorized access to stale data.",NonProd,,us-east-1
3108,security,Informational,Passed,,,Instance,How do you protect your network resources?,EC2 Instances must not be associated with Elastic or Public IP Address.,"Ensuring EC2 instances are not associated with Elastic or Public IP addresses, unless justified by business requirements, enhances security. This check verifies if EC2 instances have an Elastic or Public IP Address associated with them.",NonProd,,us-east-1
3109,reliability,Informational,Passed,,,S3,How do you design interactions in a distributed system to mitigate or withstand failures?,"S3 object versioning provides an extra layer of data protection and/ or data retention, versioning enables you to recover and preserve deleted objects from S3 bucket. This check verifies if versioning is enabled for your S3 buckets.",Ensure that S3 object versioning is enabled for your Amazon S3 buckets to preserve and recover overwritten and deleted S3 objects as an extra layer of data protection and/or data retention.,NonProd,,us-east-1
3110,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow List Actions from All Principals,"This rule checks whether the S3 bucket policy allows list actions from all principals. Allowing unrestricted list actions from all principals can enable unauthorized users to view and list the contents of the S3 bucket. S3 list actions allow the grantee to list the objects in the bucket. Providing unrestricted access to list actions can lead to exposure of sensitive information and data leakage. To prevent unauthorized access to the contents of the S3 bucket, it is recommended to restrict list actions to only authorized principals and implement appropriate access controls. Restricting list actions helps protect data privacy and enhances overall security.",Sandbox,,us-east-1
3111,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3112,security,Informational,Passed,,,Image,How do you protect your compute resources?,AMIs must not be publicly shared,"To avoid exposing sensitive data, ensure that your AWS Amazon Machine Images (AMIs) are not publicly shared with other AWS accounts. It is a best practice to avoid sharing your AMIs with all AWS accounts. If required, you can share your images with specific AWS accounts without making them public. This check verifies if your images are publicly accessible and helps prevent unauthorized access to your AMIs and the data they contain.",NonProd,,us-east-1
3113,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Put or Restore Actions from All Principals Without a Condition,"This rule checks if the put action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted put actions can lead to unauthorized users uploading, modifying, or overwriting objects in the S3 bucket. To prevent data tampering and unauthorized changes, it is important to restrict put and restore actions to specific authorized principals and use conditions such as IP address range, MFA, or specific user agents. By controlling access to put and restore actions, we can ensure data integrity and maintain a secure and compliant S3 bucket.",NonProd,,us-east-1
3114,costOptimization,Informational,Passed,,,Lambda,How do you decommission resources?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3115,sustainability,Informational,Passed,,,Lambda,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3116,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 bucket should not allow all actions from all principals without a condition.,Ensuring that S3 bucket policies follow the principle of least privilege and do not allow all actions from all principals without a condition prevents the leakage of private information and unauthorized data tampering or deletion.,NonProd,,us-east-1
3117,costOptimization,Informational,Passed,,,CostExplorer,How do you implement cloud financial management?,Use Cost Explorer,"Implementing Cost Explorer empowers effective cost management by providing detailed insights into your AWS spending. It enables you to analyze costs, identify trends, and make informed decisions to optimize resource utilization. By leveraging Cost Explorer, you can monitor cost allocation, understand usage patterns, and set budgets to ensure efficient spending across your AWS environment. It is recommended to regularly reviewing Cost Explorer data to identify cost-saving opportunities and aligning resource usage with business objectives.",NonProd,,global
3118,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3119,security,Informational,Passed,,,IAMUser,How do you securely operate your workload?,Use IAM Managed Policies,"Inline policies assigned to IAM users can be harder to manage than managed policies. Managed policies can be easily updated and attached to multiple users making them a more efficient and scalable solution for managing access control in AWS environments. This practice ensures smooth operations, better compliance, and reduced risk of unauthorized access.",NonProd,,global
3120,security,Informational,Passed,,,S3,How do you protect your compute resources?,Static website hosting is disabled on S3 buckets,"A static website on a S3 bucket requires public read access to the bucket. To make bucket publicly readable, you must disable block public access settings for the bucket and write a bucket policy that grants public read access, it has potential risk of exposure when you turn off block public access settings to make your bucket public, anyone on the internet can access your bucket, it is strongly recommended to block public access.",NonProd,,us-east-1
3121,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Put or Restore Actions from All Principals Without a Condition,"This rule checks if the put action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted put actions can lead to unauthorized users uploading, modifying, or overwriting objects in the S3 bucket. To prevent data tampering and unauthorized changes, it is important to restrict put and restore actions to specific authorized principals and use conditions such as IP address range, MFA, or specific user agents. By controlling access to put and restore actions, we can ensure data integrity and maintain a secure and compliant S3 bucket.",NonProd,,us-east-1
3122,reliability,Informational,Passed,,,Snapshot,How do you back up data?,Check for EBS Old Snapshots older than 30 days.,"Checking for AWS EBS snapshots older than 30 days helps identify and remove outdated snapshots, reducing storage costs and minimizing the risk of unauthorized access to stale data.",NonProd,,us-east-1
3123,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Should Not Allow Get Actions from All Principals Without a Condition,"This rule checks if the get action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted get actions on an S3 bucket can lead to unauthorized access and data exposure. It is essential to protect sensitive data by restricting get actions to specific authorized principals and using conditions such as IP address range, MFA, or specific user agents. This practice helps ensure that only authorized users can access the data and enhances the overall security of the S3 bucket.",NonProd,,us-east-1
3124,security,Informational,Passed,,,Topic,How do you manage permissions for people and machines?,Check for public SNS Topics,Identify any publicly accessible Amazon SNS topics in order to protect against attackers and unauthorized personnel.,NonProd,,us-east-1
3125,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3126,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Get Actions from All Principals,"This rule checks whether the S3 bucket policy allows get actions from all principals. Allowing unrestricted get actions from all principals can result in unauthorized access to sensitive data stored in the S3 bucket. S3 get actions allow the grantee to read the object data and its metadata. Allowing get actions from all principals without any restrictions can lead to data leaks and privacy violations. To prevent unauthorized access to sensitive data, it is recommended to restrict get actions to only authorized principals and implement appropriate access controls. This best practice helps ensure data confidentiality and prevents data breaches.",NonProd,,us-east-1
3127,security,Informational,Passed,,,Image,How do you protect your data at rest?,Encrypt Amazon Machine Images (AMIs),"Ensure Amazon Machine Images (AMIs) are encrypted. Encrypting your AMIs adds an extra layer of security, helping to protect the sensitive data stored within the images and meet compliance requirements for data-at-rest encryption. By using encryption, you can prevent unauthorized access to the data within the AMI, ensuring the integrity and confidentiality of your information.",NonProd,,us-east-1
3128,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals Without a Condition,"This rule checks if delete actions from all principals are allowed on S3 buckets without a condition. S3 bucket policies that allow delete actions from all principals without a condition should be avoided because they can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized.",NonProd,,us-east-1
